"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","timeout","failed_images","failed_audio","failed_video","stimulus","response","condition","category","level","selection_array","selection_index","rt_array","selection_type_array","final_choice_array","final_rt"
"true","14404","fullscreen","0","null","15418","pbptnzerqf5","tiger","","","","","","","","","","","","","","",""
"true","","preload","1","2.0.0","15749","pbptnzerqf5","tiger","false","[]","[]","[]","","","","","","","","","","",""
"","1188","html-keyboard-response","2","2.0.0","16937","pbptnzerqf5","tiger","","","","","Welcome to the experiment. Press any key to begin."," ","","","","","","","","",""
"","2977","survey-text","3","2.0.0","19916","pbptnzerqf5","tiger","","","","","","{""participant_id"":""tiger""}","","","","","","","","",""
"","5639","html-keyboard-response","4","2.0.0","25556","pbptnzerqf5","tiger","","","","","
  <p><b>This is Mr. Frog!</b></p>
  <img src=""stimuli/mrfrog.png"" alt=""Mr. Frog"" style=""width:300px;height:300px;"">
  <p>He speaks a different language and needs help finding the items he wants. Can you help Mr. Frog?</p>
  <p>Press any key to move to the next page.</p>
"," ","","","","","","","","",""
"","110891","html-keyboard-response","5","2.0.0","136447","pbptnzerqf5","tiger","","","","","
  <img src=""stimuli/mrfrog.png"" alt=""Mr. Frog"" style=""width:300px;height:300px;"">
  <p>In each trial, you will be shown an image that will be labeled with a word in the language that Mr. Frog speaks. </p>
  <p>Your job will be to select all the items that you think matches what Mr. Frog is asking for. </p>
  <p>Press any key to begin.</p>
"," ","","","","","","","","",""
"","","html-button-response","6","2.0.0","149520","pbptnzerqf5","tiger","","","","","<img src=""stimuli/c2_sub1.jpg"" style=""width:200px;height:200px;""> 
              <p>Here is a rif. Can you give Mr. Frog all the other rifs?</p>
              <p>Click on all of the rifs below. If you change your mind, you can unselect any image.</p>
              <p>Click the Submit button when you are done selecting all the rifs.</p>","","1-item","vehicles","one-subordinate","[""stimuli/c2_bas4.jpg"",""stimuli/c2_bas3.jpg"",""stimuli/c2_sub4.jpg"",""stimuli/c2_sub5.jpg""]","[4,10,11,20]","[8125,9126,9894,11295]","[""select"",""select"",""select"",""select""]","[""stimuli/c2_bas4.jpg"",""stimuli/c2_bas3.jpg"",""stimuli/c2_sub4.jpg"",""stimuli/c2_sub5.jpg""]","13072"
"","","html-button-response","7","2.0.0","155523","pbptnzerqf5","tiger","","","","","<img src=""stimuli/c1_sub1.jpg"" style=""width:200px;height:200px;""> 
              <p>Here is a fep. Can you give Mr. Frog all the other feps?</p>
              <p>Click on all of the feps below. If you change your mind, you can unselect any image.</p>
              <p>Click the Submit button when you are done selecting all the feps.</p>","","1-item","vegetables","one-subordinate","[""stimuli/c1_sub5.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_bas4.jpg""]","[9,15,16,3]","[1680,1940,2365,4559]","[""select"",""select"",""select"",""select""]","[""stimuli/c1_sub5.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_bas4.jpg""]","6002"
"","","html-button-response","8","2.0.0","160275","pbptnzerqf5","tiger","","","","","<img src=""stimuli/c3_sub1.jpg"" style=""width:200px;height:200px;""> 
              <p>Here is a zom. Can you give Mr. Frog all the other zoms?</p>
              <p>Click on all of the zoms below. If you change your mind, you can unselect any image.</p>
              <p>Click the Submit button when you are done selecting all the zoms.</p>","","1-item","animals","one-subordinate","[""stimuli/c3_sub4.jpg"",""stimuli/c3_sub5.jpg""]","[13,22]","[2004,3129]","[""select"",""select""]","[""stimuli/c3_sub4.jpg"",""stimuli/c3_sub5.jpg""]","4751"
"","","html-button-response","9","2.0.0","170441","pbptnzerqf5","tiger","","","","","<img src=""stimuli/c2_sub1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c2_bas2.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c2_bas1.jpg"" style=""width:200px;height:200px; margin: 5px;""><p>Here are some tevs. Can you give Mr. Frog all the other tevs?</p>
                                 <p>Click on all of the tevs below. If you change your mind, you can unselect any image.</p>
                                 <p>Click the Submit button when you are done selecting all the tevs.</p>","","3-item","vehicles","basic","[""stimuli/c2_sub4.jpg"",""stimuli/c2_bas4.jpg""]","[18,22]","[6653,7403]","[""select"",""select""]","[""stimuli/c2_sub4.jpg"",""stimuli/c2_bas4.jpg""]","10165"
