"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","timeout","failed_images","failed_audio","failed_video","stimulus","response","condition","category","level","selection_array","selection_index","rt_array","selection_type_array","final_choice_array","final_rt"
"true","11712","fullscreen","0","null","12717","p5oclf9aw4j","pelican","","","","","","","","","","","","","","",""
"true","","preload","1","2.0.0","14619","p5oclf9aw4j","pelican","false","[]","[]","[]","","","","","","","","","","",""
"","1092","html-keyboard-response","2","2.0.0","15712","p5oclf9aw4j","pelican","","","","","Welcome to the experiment. Press any key to begin."," ","","","","","","","","",""
"","3502","survey-text","3","2.0.0","19218","p5oclf9aw4j","pelican","","","","","","{""participant_id"":""pelican""}","","","","","","","","",""
"","8184","html-keyboard-response","4","2.0.0","27402","p5oclf9aw4j","pelican","","","","","
  <p><b>This is Mr. Frog!</b></p>
  <img src=""stimuli/mrfrog.png"" alt=""Mr. Frog"" style=""width:300px;height:300px;"">
  <p>He speaks a different language and needs help finding the items he wants. Can you help Mr. Frog?</p>
  <p>Press any key to move to the next page.</p>
"," ","","","","","","","","",""
"","8538","html-keyboard-response","5","2.0.0","35940","p5oclf9aw4j","pelican","","","","","
  <img src=""stimuli/mrfrog.png"" alt=""Mr. Frog"" style=""width:300px;height:300px;"">
  <p>In each trial, you will be shown an image that will be labeled with a word in the language that Mr. Frog speaks. </p>
  <p>Your job will be to select all the items that you think matches what Mr. Frog is asking for. </p>
  <p>Press any key to begin.</p>
"," ","","","","","","","","",""
"","","html-button-response","6","2.0.0","62651","p5oclf9aw4j","pelican","","","","","<img src=""stimuli/c1_sub1.jpg"" style=""width:200px;height:200px;""> 
              <p>Here is a wug. Can you give Mr. Frog all the other wugs?</p>
              <p>Click on all of the wugs below. If you change your mind, you can unselect any image.</p>
              <p>Click the Submit button when you are done selecting all the wugs.</p>","","1-item","vegetables","one-subordinate","[""stimuli/c1_sub4.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_sub5.jpg""]","[0,1,12,22]","[9098,10005,12066,13674]","[""select"",""select"",""select"",""select""]","[""stimuli/c1_sub4.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_sub5.jpg""]","26708"
"","","html-button-response","7","2.0.0","77500","p5oclf9aw4j","pelican","","","","","<img src=""stimuli/c3_sub1.jpg"" style=""width:200px;height:200px;""> 
              <p>Here is a tob. Can you give Mr. Frog all the other tobs?</p>
              <p>Click on all of the tobs below. If you change your mind, you can unselect any image.</p>
              <p>Click the Submit button when you are done selecting all the tobs.</p>","","1-item","animals","one-subordinate","[""stimuli/c3_sub5.jpg"",""stimuli/c3_bas3.jpg"",""stimuli/c3_sub4.jpg"",""stimuli/c3_bas4.jpg""]","[9,15,16,19]","[4154,5082,5829,7216]","[""select"",""select"",""select"",""select""]","[""stimuli/c3_sub5.jpg"",""stimuli/c3_bas3.jpg"",""stimuli/c3_sub4.jpg"",""stimuli/c3_bas4.jpg""]","14846"
"","","html-button-response","8","2.0.0","86434","p5oclf9aw4j","pelican","","","","","<img src=""stimuli/c2_sub1.jpg"" style=""width:200px;height:200px;""> 
              <p>Here is a fep. Can you give Mr. Frog all the other feps?</p>
              <p>Click on all of the feps below. If you change your mind, you can unselect any image.</p>
              <p>Click the Submit button when you are done selecting all the feps.</p>","","1-item","vehicles","one-subordinate","[""stimuli/c2_bas3.jpg"",""stimuli/c2_sub5.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_sub4.jpg""]","[3,12,9,23]","[2393,4405,5752,7453]","[""select"",""select"",""select"",""select""]","[""stimuli/c2_bas3.jpg"",""stimuli/c2_sub5.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_sub4.jpg""]","8933"
"","","html-button-response","9","2.0.0","100882","p5oclf9aw4j","pelican","","","","","<img src=""stimuli/c3_sub1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c3_bas1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c3_bas2.jpg"" style=""width:200px;height:200px; margin: 5px;""><p>Here are some sibs. Can you give Mr. Frog all the other sibs?</p>
                                 <p>Click on all of the sibs below. If you change your mind, you can unselect any image.</p>
                                 <p>Click the Submit button when you are done selecting all the sibs.</p>","","3-item","animals","basic","[""stimuli/c3_sub5.jpg"",""stimuli/c3_sub4.jpg"",""stimuli/c3_bas3.jpg"",""stimuli/c3_bas4.jpg""]","[12,6,17,20]","[6889,7621,9560,10779]","[""select"",""select"",""select"",""select""]","[""stimuli/c3_sub5.jpg"",""stimuli/c3_sub4.jpg"",""stimuli/c3_bas3.jpg"",""stimuli/c3_bas4.jpg""]","14445"
