"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","timeout","failed_images","failed_audio","failed_video","stimulus","response","condition","category","level","selection_array","selection_index","rt_array","selection_type_array","final_choice_array","final_rt"
"true","767","fullscreen","0","null","1834","pqmjkjum794","camel","","","","","","","","","","","","","","",""
"true","","preload","1","2.0.0","2189","pqmjkjum794","camel","false","[]","[]","[]","","","","","","","","","","",""
"","791","html-keyboard-response","2","2.0.0","2981","pqmjkjum794","camel","","","","","Welcome to the experiment. Press any key to begin.","c","","","","","","","","",""
"","960","survey-text","3","2.0.0","3980","pqmjkjum794","camel","","","","","","{""participant_id"":""camel""}","","","","","","","","",""
"","2930","html-keyboard-response","4","2.0.0","6913","pqmjkjum794","camel","","","","","
  <p><b>This is Mr. Frog!</b></p>
  <img src=""stimuli/mrfrog.png"" alt=""Mr. Frog"" style=""width:300px;height:300px;"">
  <p>He speaks a different language and needs help finding the items he wants. Can you help Mr. Frog?</p>
  <p>Press any key to move to the next page.</p>
"," ","","","","","","","","",""
"","73023","html-keyboard-response","5","2.0.0","79937","pqmjkjum794","camel","","","","","
  <img src=""stimuli/mrfrog.png"" alt=""Mr. Frog"" style=""width:300px;height:300px;"">
  <p>In each trial, you will be shown an image that will be labeled with a word in the language that Mr. Frog speaks. </p>
  <p>Your job will be to select all the items that you think matches what Mr. Frog is asking for. </p>
  <p>Press any key to begin.</p>
"," ","","","","","","","","",""
"","","html-button-response","6","2.0.0","98200","pqmjkjum794","camel","","","","","<img src=""stimuli/c2_sub1.jpg"" style=""width:200px;height:200px;""> 
              <p>Here is a rif. Can you give Mr. Frog all the other rifs?</p>
              <p>Click on all of the rifs below. If you change your mind, you can unselect any image.</p>
              <p>Click the Submit button when you are done selecting all the rifs.</p>","","1-item","vehicles","one-subordinate","[""stimuli/c2_sub5.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_bas3.jpg"",""stimuli/c2_sub4.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_bas4.jpg""]","[2,11,10,22,11,11]","[10292,11343,14047,14674,16629,17321]","[""select"",""select"",""select"",""select"",""unselect"",""select""]","[""stimuli/c2_sub5.jpg"",""stimuli/c2_bas3.jpg"",""stimuli/c2_sub4.jpg"",""stimuli/c2_bas4.jpg""]","18257"
"","","html-button-response","7","2.0.0","109772","pqmjkjum794","camel","","","","","<img src=""stimuli/c3_sub1.jpg"" style=""width:200px;height:200px;""> 
              <p>Here is a tev. Can you give Mr. Frog all the other tevs?</p>
              <p>Click on all of the tevs below. If you change your mind, you can unselect any image.</p>
              <p>Click the Submit button when you are done selecting all the tevs.</p>","","1-item","animals","one-subordinate","[""stimuli/c3_sub4.jpg"",""stimuli/c3_sub5.jpg"",""stimuli/c3_bas3.jpg"",""stimuli/c3_bas4.jpg""]","[2,19,21,15]","[1632,2796,3513,3961]","[""select"",""select"",""select"",""select""]","[""stimuli/c3_sub4.jpg"",""stimuli/c3_sub5.jpg"",""stimuli/c3_bas3.jpg"",""stimuli/c3_bas4.jpg""]","11567"
"","","html-button-response","8","2.0.0","115781","pqmjkjum794","camel","","","","","<img src=""stimuli/c1_sub1.jpg"" style=""width:200px;height:200px;""> 
              <p>Here is a zom. Can you give Mr. Frog all the other zoms?</p>
              <p>Click on all of the zoms below. If you change your mind, you can unselect any image.</p>
              <p>Click the Submit button when you are done selecting all the zoms.</p>","","1-item","vegetables","one-subordinate","[""stimuli/c1_sub4.jpg"",""stimuli/c1_sub5.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_bas4.jpg""]","[8,12,15,5]","[1550,2445,3163,4376]","[""select"",""select"",""select"",""select""]","[""stimuli/c1_sub4.jpg"",""stimuli/c1_sub5.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_bas4.jpg""]","6005"
"","","html-button-response","9","2.0.0","126660","pqmjkjum794","camel","","","","","<img src=""stimuli/c2_sup2.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c2_sub1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c2_sup1.jpg"" style=""width:200px;height:200px; margin: 5px;""><p>Here are some meps. Can you give Mr. Frog all the other meps?</p>
                                 <p>Click on all of the meps below. If you change your mind, you can unselect any image.</p>
                                 <p>Click the Submit button when you are done selecting all the meps.</p>","","3-item","vehicles","superordinate","[""stimuli/c2_sub5.jpg"",""stimuli/c2_sup3.jpg"",""stimuli/c2_sub4.jpg"",""stimuli/c2_sup5.jpg"",""stimuli/c2_bas3.jpg"",""stimuli/c2_sup4.jpg"",""stimuli/c2_sup6.jpg"",""stimuli/c2_bas4.jpg""]","[3,2,8,10,16,12,19,22]","[4660,5222,5922,6881,7372,8430,9016,9619]","[""select"",""select"",""select"",""select"",""select"",""select"",""select"",""select""]","[""stimuli/c2_sub5.jpg"",""stimuli/c2_sup3.jpg"",""stimuli/c2_sub4.jpg"",""stimuli/c2_sup5.jpg"",""stimuli/c2_bas3.jpg"",""stimuli/c2_sup4.jpg"",""stimuli/c2_sup6.jpg"",""stimuli/c2_bas4.jpg""]","10872"
