"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","timeout","failed_images","failed_audio","failed_video","stimulus","response","condition","category","level","selection_array","selection_index","rt_array","selection_type_array","final_choice_array","final_rt"
"true","2504","fullscreen","0","null","3522","p0dl5tzjk4h","Beaver","","","","","","","","","","","","","","",""
"true","","preload","1","2.0.0","4027","p0dl5tzjk4h","Beaver","false","[]","[]","[]","","","","","","","","","","",""
"","983","html-keyboard-response","2","2.0.0","5012","p0dl5tzjk4h","Beaver","","","","","Welcome to the experiment. Press any key to begin."," ","","","","","","","","",""
"","7355","survey-text","3","2.0.0","12376","p0dl5tzjk4h","Beaver","","","","","","{""participant_id"":""Beaver""}","","","","","","","","",""
"","5561","html-keyboard-response","4","2.0.0","17941","p0dl5tzjk4h","Beaver","","","","","
  <p><b>This is Mr. Frog!</b></p>
  <img src=""stimuli/mrfrog.png"" alt=""Mr. Frog"" style=""width:300px;height:300px;"">
  <p>He speaks a different language and needs help finding the items he wants. Can you help Mr. Frog?</p>
  <p>Press any key to move to the next page.</p>
"," ","","","","","","","","",""
"","10379","html-keyboard-response","5","2.0.0","28321","p0dl5tzjk4h","Beaver","","","","","
  <img src=""stimuli/mrfrog.png"" alt=""Mr. Frog"" style=""width:300px;height:300px;"">
  <p>In each trial, you will be shown an image that will be labeled with a word in the language that Mr. Frog speaks. </p>
  <p>Your job will be to select all the items that you think matches what Mr. Frog is asking for. </p>
  <p>Press any key to begin.</p>
"," ","","","","","","","","",""
"","","html-button-response","6","2.0.0","53437","p0dl5tzjk4h","Beaver","","","","","<img src=""stimuli/c3_sub1.jpg"" style=""width:200px;height:200px;""> 
              <p>Here is a tev. Can you give Mr. Frog all the other tevs?</p>
              <p>Click on all of the tevs below. If you change your mind, you can unselect any image.</p>
              <p>Click the Submit button when you are done selecting all the tevs.</p>","","1-item","animals","one-subordinate","[""stimuli/c3_sub4.jpg"",""stimuli/c3_bas4.jpg"",""stimuli/c3_bas3.jpg"",""stimuli/c3_sub5.jpg""]","[3,1,10,17]","[16199,17247,19259,20625]","[""select"",""select"",""select"",""select""]","[""stimuli/c3_sub4.jpg"",""stimuli/c3_bas4.jpg"",""stimuli/c3_bas3.jpg"",""stimuli/c3_sub5.jpg""]","25107"
"","","html-button-response","7","2.0.0","65117","p0dl5tzjk4h","Beaver","","","","","<img src=""stimuli/c1_sub1.jpg"" style=""width:200px;height:200px;""> 
              <p>Here is a mep. Can you give Mr. Frog all the other meps?</p>
              <p>Click on all of the meps below. If you change your mind, you can unselect any image.</p>
              <p>Click the Submit button when you are done selecting all the meps.</p>","","1-item","vegetables","one-subordinate","[""stimuli/c1_sub5.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_bas3.jpg""]","[1,13,20,19]","[2952,5054,6546,7417]","[""select"",""select"",""select"",""select""]","[""stimuli/c1_sub5.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_bas3.jpg""]","11673"
"","","html-button-response","8","2.0.0","76578","p0dl5tzjk4h","Beaver","","","","","<img src=""stimuli/c2_sub1.jpg"" style=""width:200px;height:200px;""> 
              <p>Here is a zom. Can you give Mr. Frog all the other zoms?</p>
              <p>Click on all of the zoms below. If you change your mind, you can unselect any image.</p>
              <p>Click the Submit button when you are done selecting all the zoms.</p>","","1-item","vehicles","one-subordinate","[""stimuli/c2_sub4.jpg"",""stimuli/c2_bas3.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_sub5.jpg""]","[4,13,6,19]","[3784,6418,7216,9505]","[""select"",""select"",""select"",""select""]","[""stimuli/c2_sub4.jpg"",""stimuli/c2_bas3.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_sub5.jpg""]","11455"
"","","html-button-response","9","2.0.0","92753","p0dl5tzjk4h","Beaver","","","","","<img src=""stimuli/c1_sub1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c1_sup1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c1_sup2.jpg"" style=""width:200px;height:200px; margin: 5px;""><p>Here are some rifs. Can you give Mr. Frog all the other rifs?</p>
                                 <p>Click on all of the rifs below. If you change your mind, you can unselect any image.</p>
                                 <p>Click the Submit button when you are done selecting all the rifs.</p>","","3-item","vegetables","superordinate","[""stimuli/c1_sup3.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_sub5.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_sup5.jpg"",""stimuli/c1_sup6.jpg"",""stimuli/c1_sup4.jpg""]","[1,0,4,11,9,15,22,18]","[7635,8391,9499,10170,11064,12397,13662,14780]","[""select"",""select"",""select"",""select"",""select"",""select"",""select"",""select""]","[""stimuli/c1_sup3.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_sub5.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_sup5.jpg"",""stimuli/c1_sup6.jpg"",""stimuli/c1_sup4.jpg""]","16168"
