"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","timeout","failed_images","failed_audio","failed_video","stimulus","response","condition","category","level","selection_array","selection_index","rt_array","selection_type_array","final_choice_array","final_rt"
"true","1290","fullscreen","0","null","2295","p4jsogdq5ca","seal","","","","","","","","","","","","","","",""
"true","","preload","1","2.0.0","2607","p4jsogdq5ca","seal","false","[]","[]","[]","","","","","","","","","","",""
"","914","html-keyboard-response","2","2.0.0","3522","p4jsogdq5ca","seal","","","","","Welcome to the experiment. Press any key to begin."," ","","","","","","","","",""
"","2538","survey-text","3","2.0.0","6063","p4jsogdq5ca","seal","","","","","","{""participant_id"":""seal""}","","","","","","","","",""
"","4608","html-keyboard-response","4","2.0.0","10672","p4jsogdq5ca","seal","","","","","
  <p><b>This is Mr. Frog!</b></p>
  <img src=""stimuli/mrfrog.png"" alt=""Mr. Frog"" style=""width:300px;height:300px;"">
  <p>He speaks a different language and needs help finding the items he wants. Can you help Mr. Frog?</p>
  <p>Press any key to move to the next page.</p>
"," ","","","","","","","","",""
"","4588","html-keyboard-response","5","2.0.0","15261","p4jsogdq5ca","seal","","","","","
  <img src=""stimuli/mrfrog.png"" alt=""Mr. Frog"" style=""width:300px;height:300px;"">
  <p>In each trial, you will be shown an image that will be labeled with a word in the language that Mr. Frog speaks. </p>
  <p>Your job will be to select all the items that you think matches what Mr. Frog is asking for. </p>
  <p>Press any key to begin.</p>
"," ","","","","","","","","",""
"","","html-button-response","6","2.0.0","35076","p4jsogdq5ca","seal","","","","","<img src=""stimuli/c1_sub1.jpg"" style=""width:200px;height:200px;""> 
              <p>Here is a zom. Can you give Mr. Frog all the other zoms?</p>
              <p>Click on all of the zoms below. If you change your mind, you can unselect any image.</p>
              <p>Click the Submit button when you are done selecting all the zoms.</p>","","1-item","vegetables","one-subordinate","[""stimuli/c1_sub4.jpg"",""stimuli/c1_sub5.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_bas3.jpg""]","[5,8,17,11]","[8962,9978,12285,12868]","[""select"",""select"",""select"",""select""]","[""stimuli/c1_sub4.jpg"",""stimuli/c1_sub5.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_bas3.jpg""]","19812"
"","","html-button-response","7","2.0.0","47152","p4jsogdq5ca","seal","","","","","<img src=""stimuli/c3_sub1.jpg"" style=""width:200px;height:200px;""> 
              <p>Here is a fep. Can you give Mr. Frog all the other feps?</p>
              <p>Click on all of the feps below. If you change your mind, you can unselect any image.</p>
              <p>Click the Submit button when you are done selecting all the feps.</p>","","1-item","animals","one-subordinate","[""stimuli/c3_sub5.jpg"",""stimuli/c3_sub4.jpg""]","[7,9]","[3911,6597]","[""select"",""select""]","[""stimuli/c3_sub5.jpg"",""stimuli/c3_sub4.jpg""]","12074"
"","","html-button-response","8","2.0.0","53790","p4jsogdq5ca","seal","","","","","<img src=""stimuli/c2_sub1.jpg"" style=""width:200px;height:200px;""> 
              <p>Here is a mep. Can you give Mr. Frog all the other meps?</p>
              <p>Click on all of the meps below. If you change your mind, you can unselect any image.</p>
              <p>Click the Submit button when you are done selecting all the meps.</p>","","1-item","vehicles","one-subordinate","[""stimuli/c2_sub4.jpg"",""stimuli/c2_sub5.jpg""]","[0,19]","[3605,5124]","[""select"",""select""]","[""stimuli/c2_sub4.jpg"",""stimuli/c2_sub5.jpg""]","6635"
"","","html-button-response","9","2.0.0","64192","p4jsogdq5ca","seal","","","","","<img src=""stimuli/c2_bas1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c2_sub1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c2_bas2.jpg"" style=""width:200px;height:200px; margin: 5px;""><p>Here are some wugs. Can you give Mr. Frog all the other wugs?</p>
                                 <p>Click on all of the wugs below. If you change your mind, you can unselect any image.</p>
                                 <p>Click the Submit button when you are done selecting all the wugs.</p>","","3-item","vehicles","basic","[""stimuli/c2_sub4.jpg"",""stimuli/c2_sub5.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_bas3.jpg""]","[19,18,0,7]","[3264,3833,6006,8779]","[""select"",""select"",""select"",""select""]","[""stimuli/c2_sub4.jpg"",""stimuli/c2_sub5.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_bas3.jpg""]","10399"
