"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","timeout","failed_images","failed_audio","failed_video","stimulus","response","condition","category","level","selection_array","selection_index","rt_array","selection_type_array","final_choice_array","final_rt"
"true","1048","fullscreen","0","null","2064","pvj8dw4hywk","rhino","","","","","","","","","","","","","","",""
"true","","preload","1","2.0.0","2192","pvj8dw4hywk","rhino","false","[]","[]","[]","","","","","","","","","","",""
"","995","html-keyboard-response","2","2.0.0","3188","pvj8dw4hywk","rhino","","","","","Welcome to the experiment. Press any key to begin."," ","","","","","","","","",""
"","3905","survey-text","3","2.0.0","7094","pvj8dw4hywk","rhino","","","","","","{""participant_id"":""rhino""}","","","","","","","","",""
"","688","html-keyboard-response","4","2.0.0","7783","pvj8dw4hywk","rhino","","","","","
  <p><b>This is Mr. Frog!</b></p>
  <img src=""stimuli/mrfrog.png"" alt=""Mr. Frog"" style=""width:300px;height:300px;"">
  <p>He speaks a different language and needs help finding the items he wants. Can you help Mr. Frog?</p>
  <p>Press any key to move to the next page.</p>
"," ","","","","","","","","",""
"","425","html-keyboard-response","5","2.0.0","8209","pvj8dw4hywk","rhino","","","","","
  <img src=""stimuli/mrfrog.png"" alt=""Mr. Frog"" style=""width:300px;height:300px;"">
  <p>In each trial, you will be shown an image that will be labeled with a word in the language that Mr. Frog speaks. </p>
  <p>Your job will be to select all the items that you think matches what Mr. Frog is asking for. </p>
  <p>Press any key to begin.</p>
"," ","","","","","","","","",""
"","","html-button-response","6","2.0.0","12116","pvj8dw4hywk","rhino","","","","","<img src=""stimuli/c2_sub1.jpg"" style=""width:200px;height:200px;""> 
              <p>Here is a wug. Can you give Mr. Frog all the other wugs?</p>
              <p>Click on all of the wugs below. If you change your mind, you can unselect any image.</p>
              <p>Click the Submit button when you are done selecting all the wugs.</p>","","1-item","vehicles","one-subordinate","[""stimuli/c2_sub5.jpg"",""stimuli/c2_sub4.jpg""]","[2,12]","[1290,2227]","[""select"",""select""]","[""stimuli/c2_sub5.jpg"",""stimuli/c2_sub4.jpg""]","3906"
"","","html-button-response","7","2.0.0","19006","pvj8dw4hywk","rhino","","","","","<img src=""stimuli/c1_sub1.jpg"" style=""width:200px;height:200px;""> 
              <p>Here is a rif. Can you give Mr. Frog all the other rifs?</p>
              <p>Click on all of the rifs below. If you change your mind, you can unselect any image.</p>
              <p>Click the Submit button when you are done selecting all the rifs.</p>","","1-item","vegetables","one-subordinate","[""stimuli/c1_sub4.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_bas4.jpg""]","[23,23,23,19,19]","[3048,3992,4516,5244,5971]","[""select"",""unselect"",""select"",""select"",""unselect""]","[""stimuli/c1_sub4.jpg""]","6888"
"","","html-button-response","8","2.0.0","22132","pvj8dw4hywk","rhino","","","","","<img src=""stimuli/c3_sub1.jpg"" style=""width:200px;height:200px;""> 
              <p>Here is a fep. Can you give Mr. Frog all the other feps?</p>
              <p>Click on all of the feps below. If you change your mind, you can unselect any image.</p>
              <p>Click the Submit button when you are done selecting all the feps.</p>","","1-item","animals","one-subordinate","[""stimuli/c3_sub4.jpg"",""stimuli/c3_sub5.jpg""]","[15,22]","[1145,1894]","[""select"",""select""]","[""stimuli/c3_sub4.jpg"",""stimuli/c3_sub5.jpg""]","3125"
"","","html-button-response","9","2.0.0","26070","pvj8dw4hywk","rhino","","","","","<img src=""stimuli/c3_sub2.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c3_sub3.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c3_sub1.jpg"" style=""width:200px;height:200px; margin: 5px;""><p>Here are some feps. Can you give Mr. Frog all the other feps?</p>
                                 <p>Click on all of the feps below. If you change your mind, you can unselect any image.</p>
                                 <p>Click the Submit button when you are done selecting all the feps.</p>","","3-item","animals","subordinate","[""stimuli/c3_sub5.jpg"",""stimuli/c3_sub4.jpg""]","[13,18]","[1488,2286]","[""select"",""select""]","[""stimuli/c3_sub5.jpg"",""stimuli/c3_sub4.jpg""]","3936"
