"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","timeout","failed_images","failed_audio","failed_video","stimulus","response","condition","category","level","selection_array","selection_index","rt_array","selection_type_array","final_choice_array","final_rt"
"true","1125","fullscreen","0","null","2128","pmeb6mpm526","p73","","","","","","","","","","","","","","",""
"true","","preload","1","2.0.0","2721","pmeb6mpm526","p73","false","[]","[]","[]","","","","","","","","","","",""
"","745","html-keyboard-response","2","2.0.0","3467","pmeb6mpm526","p73","","","","","Welcome to the experiment. Press any key to begin.","b","","","","","","","","",""
"","4971","survey-text","3","2.0.0","8443","pmeb6mpm526","p73","","","","","","{""participant_id"":""p73""}","","","","","","","","",""
"","7240","html-keyboard-response","4","2.0.0","15685","pmeb6mpm526","p73","","","","","
  <p><b>This is Mr. Frog!</b></p>
  <img src=""stimuli/mrfrog.png"" alt=""Mr. Frog"" style=""width:300px;height:300px;"">
  <p>He speaks a different language and needs help finding the items he wants. Can you help Mr. Frog?</p>
  <p>Press any key to move to the next page.</p>
","j","","","","","","","","",""
"","6411","html-keyboard-response","5","2.0.0","22098","pmeb6mpm526","p73","","","","","
  <img src=""stimuli/mrfrog.png"" alt=""Mr. Frog"" style=""width:300px;height:300px;"">
  <p>In each trial, you will be shown an image that will be labeled with a word in the language that Mr. Frog speaks. </p>
  <p>Your job will be to select all the items that you think matches what Mr. Frog is asking for. </p>
  <p>Press any key to begin.</p>
","j","","","","","","","","",""
"","","html-button-response","6","2.0.0","39040","pmeb6mpm526","p73","","","","","<img src=""stimuli/c2_sub1.jpg"" style=""width:200px;height:200px;""> 
              <p>Here is a tev. Can you give Mr. Frog all the other tevs?</p>
              <p>Click on all of the tevs below. If you change your mind, you can unselect any image.</p>
              <p>Click the Submit button when you are done selecting all the tevs.</p>","","1-item","vehicles","one-subordinate","[""stimuli/c2_bas4.jpg"",""stimuli/c2_sub5.jpg"",""stimuli/c2_bas3.jpg"",""stimuli/c2_sub4.jpg""]","[2,8,23,18]","[9802,10258,12127,14002]","[""select"",""select"",""select"",""select""]","[""stimuli/c2_bas4.jpg"",""stimuli/c2_sub5.jpg"",""stimuli/c2_bas3.jpg"",""stimuli/c2_sub4.jpg""]","16937"
"","","html-button-response","7","2.0.0","54400","pmeb6mpm526","p73","","","","","<img src=""stimuli/c3_sub1.jpg"" style=""width:200px;height:200px;""> 
              <p>Here is a sib. Can you give Mr. Frog all the other sibs?</p>
              <p>Click on all of the sibs below. If you change your mind, you can unselect any image.</p>
              <p>Click the Submit button when you are done selecting all the sibs.</p>","","1-item","animals","one-subordinate","[""stimuli/c3_sub5.jpg"",""stimuli/c3_sub4.jpg"",""stimuli/c3_bas3.jpg"",""stimuli/c3_bas4.jpg""]","[1,8,13,19]","[3468,3973,6740,8560]","[""select"",""select"",""select"",""select""]","[""stimuli/c3_sub5.jpg"",""stimuli/c3_sub4.jpg"",""stimuli/c3_bas3.jpg"",""stimuli/c3_bas4.jpg""]","15357"
"","","html-button-response","8","2.0.0","64478","pmeb6mpm526","p73","","","","","<img src=""stimuli/c1_sub1.jpg"" style=""width:200px;height:200px;""> 
              <p>Here is a tob. Can you give Mr. Frog all the other tobs?</p>
              <p>Click on all of the tobs below. If you change your mind, you can unselect any image.</p>
              <p>Click the Submit button when you are done selecting all the tobs.</p>","","1-item","vegetables","one-subordinate","[""stimuli/c1_sub5.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_sub4.jpg""]","[14,8,10,23]","[2757,3328,3896,4657]","[""select"",""select"",""select"",""select""]","[""stimuli/c1_sub5.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_sub4.jpg""]","10077"
"","","html-button-response","9","2.0.0","72104","pmeb6mpm526","p73","","","","","<img src=""stimuli/c3_sub2.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c3_sub3.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c3_sub1.jpg"" style=""width:200px;height:200px; margin: 5px;""><p>Here are some sibs. Can you give Mr. Frog all the other sibs?</p>
                                 <p>Click on all of the sibs below. If you change your mind, you can unselect any image.</p>
                                 <p>Click the Submit button when you are done selecting all the sibs.</p>","","3-item","animals","subordinate","[""stimuli/c3_sub5.jpg"",""stimuli/c3_sub4.jpg""]","[14,16]","[4447,5121]","[""select"",""select""]","[""stimuli/c3_sub5.jpg"",""stimuli/c3_sub4.jpg""]","7622"
